,abbreviation,meaning
1739,FTD,frontotemporal dementia
1740,FTI,free testosterone index
1741,FTN,finger to nose
1742,FTND,full term normal delivery
1743,FTP,failure to progress
1744,FTSG,full-thickness skin graft
1745,FTT,failure to thrive
1746,FU,follow-up
1747,FUDR,floxuridine
1748,func,function
1749,FUO,fever of unknown origin
1750,FVC,forced vital capacity
1751,FVD,fluid volume deficit
1752,FVE,fluid volume excess
1753,FWB,fully weight bearing
1754,fx,fracture
1755,FY,fiscal year
1756,FYI,for your information
1757,G,gauge
1758,g,gram
1759,G&A,general and acute
1760,G&D,growth and development
1761,G+,gram positive
1762,G-,gram negative
1763,G-CSF,granulocyte-colony stimulating factor
1764,G-tube,gastrostomy tube
1765,g/dL,gram per deciliter
1766,G6-PD,glucose 6 phosphate dehydrogenase
1767,G6P,glucose 6 phosphate
1768,G6PD,glucose-6-phosphate dehydrogenase
1769,g=g,grips equal and good
1770,GA,general anesthesia
1771,Ga,Gallium (element)
1772,GABA,gamma-aminobutyric acid
1773,GABAB,gamma-aminobutyric acid type b
1774,GABHS,group a beta-hemolytic streptococcus
1775,GABRB3,GABAA receptor gene
1776,GABS,Group A beta-hemolytic streptococcus
1777,GAD,generalized anxiety disorder
1778,GAF,global assessment of functioning
1779,GAG,glycosaminoglycan
1780,GAL,galactosemia
1781,gal.,gallon
1782,garg,gargle
1783,GAS,general adaptation syndrome
1784,GB,Guillain-Barre
1785,GBS,Group B streptococcus
1786,GC,gonococcus or gonorrheal (gonorrhea coccii)
1787,GCA,giant cell arteritis
1788,GCP,good clinical practice
1789,GCS,Glasgow Coma Scale
1790,GCT,glucose challenge test
1791,Gd,Gadolinium (element)
1792,GD,gestational diabetes
1793,GDM,gestational diabetes mellitus
1794,GDS,geriatric depression scale
1795,GE,gastroenterology
1796,Ge,Germanium (element)
1797,GEA/GETA,general endotracheal anesthesia
1798,gen,general
1799,GER,gastroesophageal reflux
1800,GERD,gastroesophageal reflux disease
1801,GERI,geriatrics
1802,gest,gestational
1803,GF,grandfather
1804,GFM,good fetal movement
1805,GFR,glomerular filtration rate
1806,GG,gamma globulin
1807,GGT,gamma-glutamyl transferase
1808,GGTP,gamma gluteryl transpeptidase
1809,GH,growth hormone
1810,Gh,glenohumeral
1811,GHB,gamma hydroxybutyrate
1812,GHIH,growth hormone-inhibiting hormone
1813,GHJ,glenohumeral joint
1814,GHRF,growth hormone-releasing factor
1815,GHRH,growth hormone-releasing hormone
1816,GI,gastrointestinal
1817,GIF,graphics interchange format
1818,GIFT,gamete intrafallopian transfer
1819,GIRFT,getting it right first time
1820,GIT,gastrointestinal tract
1821,GITT,glucose insulin tolerance test
1822,gl,gland
1823,Gln,glutamine
1824,GLP,good laboratory practice
1825,glu,glucose
1826,Glu,glutamic acid
1827,glut max,gluteus maximus
1828,Gly,glycine
1829,GM,grandmother
1830,gm,gram
1831,GM&S,General Medicine and Surgery
1832,GM-CSF,granulocyte-macrophage colony-stimulating factor
1833,gm/dL,grams per deciliter
1834,GMC,general medical council
1835,GME,graduate medical education
1836,GMO,genetically modified organism
1837,gmo,grandmother
1838,GN,gram negative
1839,GNB,gram-negative bacillus
1840,GNC,gram-negative cocci
1841,GND,gram-negative diplococci
1842,GNID,gram-negative intracellular diplococci
1843,GnRF,gonadotropin-releasing factor
1844,GnRH,gonadotropin-releasing hormone
1845,GORD,gastro-esophageal reflux disease
1846,GOT,glutamic-oxaloacetic transaminase
1847,govt,government
1848,GP,general practitioner
1849,GPC,gram positive cocci
1850,GPL,IgG phospholipid unit
1851,GPN,Graduate Practical Nurse
1852,GPT,glutamic-pyruvic transaminase
1853,GR,grand rounds
1854,gr,grain
1855,grad,by degrees
1856,GRAS,generally recognized as safe
1857,GRASE,generally recognized as safe and effective
1858,grav,pregnancy (gravida)
1859,GRE,gradient echo
1860,grp,group
1861,GS,gram stain
1862,GSR,galvanic skin response
1863,GSW,gunshot wound
1864,GT,gastrostomy tube
1865,gt,drop (gutta)
1866,GTH,gonadotropic hormone
1867,GTN,gestational trophoblastic neoplasia
1868,gtt,drops (guttae)
1869,GTT,glucose tolerance test
1870,GU,gastric ulcer
1871,GUI,graphical user interface
1872,GUM,genitourinary medicine
1873,guttat.,drop by drop
1874,GVH,graft-versus-host
1875,GVHD,graft-versus-host disease
1876,GVL,graft-versus-leukemia
1877,Gy,Gray (unit of ionizing radiation)
1878,Gyn,gynecolog(y/ist/ic)
1879,h,hour
1880,H,Hydrogen (element)
1881,H flu,hemophilus influenzae
1882,H&E,hematoxylin and eosin
1883,H&H,hematocrit and hemoglobin
1884,H&L,heart and lungs
1885,H&N,head and neck
1886,H&P,history and physical
1887,H+,hydrogen ion
1888,h.s.,bedtime
1889,h/a,headache
1890,H/H,Henderson-Hasselbalch equation
1891,H1N1,"Influenza A, swine flu (hemagglutinin type 1 and neuraminidase type 1)"
1892,H2,histamine 2
1893,H2O,water
1894,H2O2,hydrogen peroxide
1895,H2SO2,sulfuric acid
1896,HA,hydroxyapatite
1897,HAA,hepatitis-associated antigen
1898,HAART,highly active antiretroviral therapy
1899,HAD,hospital anxiety and depression [scale]
1900,HAGG,heat-aggregated IgG
1901,HAIR-AN,"hyperandrogenism (HA), insulin resistance (IR) and acanthosis nigricans (AN)"
1902,HAL,hyperalimentation
1903,HAM-D,Hamilton Rating Scale for Depression
1904,HAMRSA,healthcare associated with MRSA
1905,HAPE,high-altitude pulmonary edema
1906,HAQ,health assessment questionnaire
1907,HAV,hepatitis A vaccine
1908,HAZMAT,hazardous materials
1909,HAZOP,hazard and operability
1910,HB,heart block
1911,Hb,hemoglobin
1912,Hb A1c,glycosylated hemoglobin
1913,HB SA,hepatitis B surface antigen
1914,HbA,Hemoglobin A
1915,HbA1c,hemoglobin A1c
1916,HBAg,hepatitis B antigen
1917,HbAS,Hemoglobin A and Hemoglobin S (Sickle cell trait)
1918,HbB,Hemoglobin B
1919,HbC,Hemoglobin C
1920,HBcAg,Hepatitis B core antigen
1921,HBD,hydroxybutyric dehydrogenase
1922,HBeAg,Hepatitis B e antigen
1923,HbF,Hemoglobin F
1924,HBGM,home blood glucose monitoring
1925,HBIG,hepatitis B immune globulin
1926,HBO,hyperbaric oxygenation
1927,HBOT,hyperbaric oxygen therapy
1928,HBP,high blood pressure
1929,HBPM,home blood pressure monitoring
1930,HbS,Hemoglobin S
1931,HBS,hepatobiliary scintigraphy
1932,HBsAg,hepatitis B surface antigen
1933,HBV,hepatitis B vaccine
1934,HC,hydrocortisone
1935,HCA,health care assistant
1936,HCAP,healthcare associated pneumonia
1937,HCG,human chorionic gonadotropin
1938,HCI,human-computer interaction
1939,HCl,hydrochloric acid (hydrogen chloride)
1940,HCL,hard contact lens
1941,HCM,hypertrophic cardiomyopathy
1942,HCMV,human cytomegalovirus
1943,HCO,health care organization
1944,HCO3,bicarbonate
1945,HCP,health care provider/professional
1946,HCQ,hydroxychloroquine
1947,HCST,hematopoietic stem cell transplant
1948,Hct,hematocrit
1949,HCTZ,hydrochlorothiazide
1950,HCV,hepatitis C virus
1951,HCVD,hypertensive cardiovascular disease
1952,HCW,health care worker
1953,HCY,homocystinuria
1954,Hcy,homocysteine
1955,HD,Huntington's disease
1956,HDC,high dose chemotherapy
1957,HDCV,human diploid cell rabies vaccine
1958,HDI,high-definition imaging
1959,HDL,high density lipoprotein (cholesterol)
1960,HDLC,high density lipoprotein cholesterol
1961,HDN,hemolytic disease of the newborn
1962,HDP,hydroxymethylene diphosphonate
1963,HDRS,Hamilton Depression Rating Scale
1964,HDS,hemodynamically stable
1965,HDT,home dialysis training
1966,HDU,high dependency unit
1967,HDV,hepatitis delta virus
1968,He,Helium (element)
1969,HE,home evaluation
1970,HEENT,"head, eye, ear, nose, and throat"
1971,HELLP,"hemolysis, elevated liver enzymes, low platelets"
1972,Hem,hemoglobin
1973,HEMO,hematology
1974,HemOnc,hematology/oncology
1975,Hep,hepatoma cell line
1976,HEP,home exercise program
1977,HepA,hepatitis A
1978,HEPA,high-efficiency particulate air (filtration)
1979,HepB,hepatitis B
1980,HER2,human epidermal growth factor receptor 2
1981,HEV,Hepatitis E virus
1982,HEW,"Department of Health, Education, and Welfare"
1983,Hf,Hafnium (element)
1984,HF,heart failure
1985,HFA,hydrofluoroalkane
1986,HFCS,high-fructose corn syrup
1987,Hg,hemoglobin
1988,HGA,human granulocytic anaplasmosis
1989,Hgb,hemoglobin
1990,HgbA1c,glycosylated hemoglobin
1991,HGE,human granulocytic ehrlichiosis
1992,HGF,hematopoietic factor
1993,HGH,human growth hormone
1994,HGSIL,high-grade squamous intraepithelial lesion
1995,HGV,hepatitis g virus
1996,HH,hiatal hernia
1997,HHA,home health aide
1998,HHC,home health care
1999,HHE,health hazard evaluation
2000,HHI,Herth Hope Index
2001,HHNC,hypertonic hyperosmolar non-ketotic coma
2002,HHRG,home health resource group
2003,HHS,U.S. Department of Health and Human Services
2004,HHV-6,human herpesvirus 6
2005,HI,hepatic insufficiency
2006,HIA,health impact assessment
2007,Hib,Haemophilus influenzae type B
2008,HID,Health Information Design
2009,HIDA,hepatobiliary iminodiacetic acid (cholescintigraphy)
2010,HIM,health information management
2011,HIPAA,Health Insurance Portability and Accountability Act
2012,his-tRNA,histidyl-transfer RNA
2013,HIT,health information technology
2014,HIV,human immunodeficiency virus
2015,HIV-PEP,HIV postexposure prophylaxis
2016,HIV-RNA,viral load of HIV
2017,HJR,hepato jugular reflux
2018,HL,heparin lock
2019,HL7,Health Level 7
2020,HLA,human leukocyte antigen
2021,HM,hand movement
2022,HMD,hyaline membrane disease
2023,HMG-CoA,hydroxymethyl glutaryl coenzyme A
2024,HMO,health maintenance organization
2025,HNP,herniated nucleus pulposus
2026,HNPCC,hereditary non-polyposis colorectal cancer
2027,hnRNA,heterogeneous nuclear RNA
2028,hnRNP,heterogeneous nuclear RNP
2029,HNV,has not voided
2030,Ho,Holmium (element)
2031,HOA,hypertrophic osteoarthropathy
2032,HOB,head of bed
2033,HOH,hard of hearing
2034,hor. som,bedtime
2035,HOSA,health occupations students of
2036,hosp,hospital
2037,HP,hot pack
2038,HPA,hypothalamic-pituitary axis
2039,HPB,hepatopancreatobiliary
2040,HPC,history of presenting complaint
2041,HPF,high-powered field
2042,HPI,history of present illness
2043,HPL,human placental lactogen
2044,HPLC,high-performance liquid chromatography
2045,HPN,hypertension
2046,HPS,hypertrophic pyloric stenosis
2047,HPV,human papilloma virus
2048,hr,hour
2049,HR,heart rate
2050,HRA,health risk assessment
2051,hrs,hours
2052,HRSA,Health Resources and Services Administration (U.S.)
2053,hs,at bedtime (hora somni)
2054,HS,herpes simplex
2055,HSA,health services administration
2056,HSCT,hematopoietic stem cell transplantation
2057,HSDD,hypoactive sexual desire disorder
2058,HSG,hysterosalpingogram
2059,HSIL,high-grade squamous intraepithelial lesion
2060,HSM,hepatosplenomegaly
2061,HSP,heat shock protein
2062,HSS,hyperosmolar hyperglycemic state
2063,HSV,hypersensitivity vasculitis
2064,HSV-1,herpes simplex virus type 1
2065,HSV-2,herpes simplex virus type 2
2066,HT,hypertension
2067,ht,height
2068,HTLV,human T-cell lymphotropic virus
2069,HTLV-III,human t lymphotropic virus type iii
2070,HTN,hypertension
2071,HUD,humanitarian use device
2072,HUS,hemolytic uremic syndrome
2073,husb.,husband
2074,HV,home visit/visitor
2075,Hy,hyperopia
2076,hyg,hygiene
2077,hypo,hypodermic injection
2078,hyst,hysterectomy
2079,Hz,hertz (cycles per second)
2080,HZV,herpes zoster virus
2081,I,antibody (allergy testing)
2082,I&D,incision and drainage
2083,I&O,intake and output
2084,i.e.,that is (id est)
2085,I/E,inspiratory/expiratory
2086,IA,incidental appendectomy
2087,IABC,intra-aortic balloon counterpulsation
2088,IABP,intra-aortic balloon pressure/pump
2089,IAC,internal auditory canal
2090,IADL,instrumental activities of daily living
2091,IAW,in accordance with
2092,IBC,iron binding capacity
2093,IBCLC,international board certified lactation consultant
2094,IBD,inflammatory bowel disease
2095,IBM,inclusion body myositis
2096,IBRP,independent bathroom privileges
2097,IBS,irritable bowel syndrome
2098,IBW,ideal body weight
2099,IC,immune complex
2100,iCa,ionized calcium
2101,ICCE,intracapsular cataract extraction
2102,ICD,International Classification of Diseases
2103,ICE,"ideas, concerns, and expectations"
2104,ICER,incremental cost effectiveness ratio
2105,ICF,intermediate care facility
2106,ICH,intracerebral hemorrhage
2107,ICMP,ischemic cardiomyopathy
2108,ICN,International Council of Nurses
2109,ICP,intracranial pressure
2110,ICS,intercostal space
2111,ICSH,interstitial cell-stimulating hormone
2112,ICSI,intracytoplasmic sperm injection
2113,ICT,insulin coma therapy
2114,ICTV,International Committee on Taxonomy of Viruses
2115,ICU,intensive care unit
2116,ID,identification
2117,Id.,the same
2118,IDA,Iron-deficiency anemia
2119,IDC,institution disciplinary committee
2120,IDD,insulin dependent diabetes
2121,IDDM,insulin-dependent diabetes mellitus
2122,IDG,interdisciplinary group
2123,IDH,ischemic heart disease
2124,IDM,infant of diabetic mother
2125,IDP,individual development plan
2126,IDR,idiosyncratic drug reaction
2127,IDT,interdisciplinary team
2128,IDU,idouridizine
2129,IDV,indinavir (antiviral drug)
2130,IED,improvised explosive device
2131,IEE,intervention effect estimate
2132,IEF,isoelectric focusing
2133,IEM,inborn error of metabolism
2134,IF,immunofluorescence
2135,IFA,immunofluorescence assay
2136,IFC,interferential current
2137,IFE,immunofixation electrophoresis
2138,IFG,impaired fasting glucose
2139,IFN,interferon
2140,IFN-g,Interferon-gamma
2141,IFR,infection fatality ratio
2142,iFR,instant wave-free ratio
2143,Ig,immunoglobulin
2144,IG,immune globulin(s)
2145,IgA,immunoglobulin A
2146,IgD,immunoglobulin D
2147,IgE,immunoglobulin E
2148,IGF,insulin-like growth factor
2149,IGF-1,insulin-like growth factor 1
2150,IgG,immunoglobulin G
2151,IGH,impaired glucose homeostasis
2152,IGIV,immune globulin intravenous
2153,IgM,immunoglobulin M
2154,IGR,intrauterine growth retardation
2155,IGRA,interferon gamma release assay
2156,IGT,impaired glucose tolerance
2157,IH,infectious hepatitis
2158,IHD,ischemic heart disease
2159,IHSS,idiopathic hypertrophic subaortic stenosis
2160,II,intellectual impairment
2161,IICP,increased intracranial pressure
2162,IID,intermittent infusion device (saline lock)
2163,IIF,indirect immunofluorescence
2164,IJ,internal jugular
2165,IL,interleukin
2166,ILAR,associations for rheumatology
2167,IM,infectious mononucleosis
2168,IMA,inferior mesenteric artery
2169,IMA (L/R),internal mammary artery-left/right
2170,IMC,intermediate care
2171,imm,immunization
2172,immed,"immediate, immediately (at once)"
2173,IMP,investigational medicinal product
2174,imp,impression
2175,impair,"impaired, impairment"
2176,IMRT,intensity-modulated radiation therapy
2177,IMV,intermittent mandatory ventilation
2178,in,inch (25.4 mm)
2179,In,Indium (element)
2180,IN,intranasal
2181,in d.,daily
2182,in utero,within the uterus
2183,incompat,incompatible
2184,incompl,incomplete
2185,incr,increase
2186,ind,independent
2187,IND,investigational new drug
2188,indic,"indicate, indication"
2189,INF,interferon
2190,inf,inferior
2191,InFeD,iron dextran
2192,inflam,inflammation
2193,Info,information
2194,ing,inguinal
2195,inh,inhalation
2196,INH,Isoniazid
2197,inhal,inhalation
2198,inhib,"inhibit, inhibitor"
2199,inj,injection
2200,INPT,inpatient
2201,INR,international normalized ratio
2202,insp,inspiration
2203,inst,"instruction, instructed"
2204,insuff,insufficient
2205,int,intermittent
2206,inv,inversion
2207,IOC,intraoperative cholangiogram
2208,IOI,intraosseous infusion
2209,IOL,intraocular lens
2210,IOM,Institute of Medicine
2211,IOP,intraocular pressure
2212,IOV,initial office visit
2213,IP,intraperitoneal
2214,IP joint,interphalangeal joint
2215,IPA,Independent Practice Association
2216,IPAP,inspired positive airway pressure
2217,IPC,integrated personal commissioning
2218,IPD,intermittent peritoneal dialysis
2219,IPG,impedance plethysmography
2220,IPI,International Prognostic Index
2221,IPJ,interphalangeal joint
2222,IPN,interstitial pneumonia
2223,IPOC,interdisciplinary plan of care
2224,IPP,intermittent positive pressure
2225,IPPA,"inspection, palpation, percussion and auscultation"
2226,IPPB,intermittent positive pressure breathing
2227,IPPV,intermittent positive pressure ventilation
2228,IPS,idiopathic pneumonia syndrome
2229,IPSID,immunoproliferative small intestinal disease
2230,IPSP,inhibitory postsynaptic potential
2231,IPT,interpersonal psychotherapy
2232,IPV,inactivated poliovirus (vaccine)
2233,IQ,intelligence quotient
2234,IR,interventional radiology
2235,Ir,Iridium (element)
2236,IRB,institutional review board
2237,IRDS,infant respiratory distress syndrome
2238,irreg,irregular
2239,irrig,"irrigate, irrigation"
2240,IRS,"identical, related, or similar"
2241,IRT,internal radiation therapy
2242,IRV,inspiratory reserve volume
2243,IS,incentive spirometry
2244,ISA,intrinsic sympathomimetic activity
2245,ISB,incentive spirometry breathing
2246,ISDN,isosorbide dinitrate
2247,ISG,immune serum globulin
2248,ISH,isolated systolic hypertension
2249,ISMN,isosorbide mononitrate
2250,ISR,immune status ration
2251,IT,immunotherapy
2252,ITB,iliotibial band
2253,ITP,idiopathic/immune thrombocytopenia purpura
2254,ITT,insulin tolerance test
2255,ITU,intensive therapy unit
2256,IU,international unit
2257,IUCD,intrauterine contraceptive device
2258,IUD,intrauterine device (contraceptive)
2259,IUFD,intrauterine fetal death/demise
2260,IUGR,intrauterine growth retardation
2261,IUI,intrauterine insemination
2262,IUO,investigation use only
2263,IUP,intrauterine pregnancy
2264,IUPC,intrauterine pressure catheter
2265,IUS,intrauterine system
2266,IV,intravenous
2267,IV&V,independent verification and validation
2268,IVAD,intravenous access device
2269,IVC,intravenous cholangiogram
2270,IVCD,intra ventricular conduction delay
2271,IVD,intervertebral disk disease
2272,IVDA,intravenous drug abuse
2273,IVDC,intravascular disseminated coagulation
2274,IVDU,intravenous drug user
2275,IVE,intravascular embolization
2276,IVF,in vitro fertilization
2277,IVH,intraventricular hemorrhage
2278,IVHA,intravenous hyperalimentation
2279,IVIG,intravenous immunoglobulin
2280,IVMD,in vitro medical device
2281,IVP,intravenous piggyback
2282,IVPB,intravenous piggyback
2283,IVR,idioventricular rhythm
2284,IVRA,intravenous regional anesthesia
2285,IVSS,intravenous soluset
2286,IVU,intravenous urography
2287,IWMI,inferior wall myocardial infarction
2288,J,joule
2289,J-tube,jejunostomy tube
2290,JAMA,Journal of the American Medical Association
2291,JCA,juvenile chronic arthritis
2292,JCAHO,Joint Commission on Accreditation of Healthcare Organizations
2293,JIA,juvenile idiopathic arthritis
2294,JL,Judkins left (catheter)
2295,JND,just noticeable difference
2296,jnt,joint
2297,JOD,juvenile-onset diabetes
2298,JODM,juvenile onset diabetes mellitus
2299,JP,Jackson-Pratt (drain)
2300,JR,junctional rhythm
2301,JRA,juvenile rheumatoid arthritis
2302,jt,joint
2303,juv,juvenile
2304,JVD,jugular venous distention
2305,JVP,jugular venous pressure
2306,K,Potassium (element)
2307,k/uL,kilo per microliter
2308,KA,ketoacidosis
2309,KAFO,knee ankle foot orthosis
2310,KB,ketone bodies
2311,Kcal,kilocalories
2312,KCl,potassium chloride
2313,KCS,keratoconjunctivitis sicca
2314,KCT,kaolin clotting time
2315,KCTT,kaolin cephalin thromboplastin time
2316,KD,Kawasaki disease
2317,kDa,kilodalton
2318,KDA,known drug allergy
2319,kDNA,kinetoplast DNA
2320,KED,Kendrick Extrication Device
2321,KELS,Kohlman Evaluation of Living Skills
2322,kg,"kilogram (1 kg = 2.2 pounds = 1,000 g)"
2323,KI,potassium iodine
2324,KLS,"kidney, liver, spleen"
2325,km,kilometer
2326,KOH,potassium hydroxide
2327,kPa,kilopascal
2328,KPC,Klebsiella Pneumonia Carbapenemase
2329,KPI,key performance indicator
2330,Kr,Krypton (element)
2331,KS,Kaposi's Sarcoma
2332,kU/L,kilounit per liter (allergy testing)
2333,KUB,"kidney, ureters, and bladder (x-ray)"
2334,kv,kilovolt
2335,KVO,keep vein open
2336,L,length
2337,L Cx,left circumflex
2338,L&A,light and accommodation
2339,L&B,laryngoscopy and bronchoscopy
2340,L&D,light and distance
2341,L&U,lower and upper
2342,L&W,living and well
2343,L-1,first lumbar vertebra
2344,L-2,second lumbar vertebra
2345,L-3,third lumbar vertebra
2346,L-4,fourth lumbar vertebra
2347,L-5,fifth lumbar vertebra
2348,L-dopa,Levodopa
2349,L-R,left to right
2350,L/min,liters per minute
2351,L/Min L/m,liters per minute
2352,L/R,left to right
2353,L/S ratio,lecithin to sphingomyelin ratio
2354,LA,long-acting (medicine)
2355,La,Lanthanum (element)
2356,LAA,left atrial appendage
2357,lab,laboratory
2358,LABA,long-acting beta agonist
2359,LAC,lupus anticoagulant
2360,lact,lactating
2361,LAD,lymphadenopathy
2362,LADD,diagonal branch of the left anterior
2363,LAE,left atrial enlargement
2364,LAFa,left anterior forearm
2365,LAFB,left anterior fascicular block
2366,LAHB,left anterior hemiblock
2367,LAIV,live attenuated influenza vaccine
2368,LAM,lactation amenorrhea method
2369,LAO,left anterior oblique
2370,lap,laparoscop(y/ic)
2371,LAP,leukocyte alkaline phosphatase
2372,laryngol,laryngological
2373,LASER,light amplification by stimulated emission of radiation
2374,LASIK,laser assisted in situ keratomileusis
2375,LAT,left anterolateral thigh
2376,lat.,lateral
2377,LATS,long-acting thyroid stimulator
2378,LAVH,laparoscopic assisted vaginal hysterectomy
2379,lax,loose
2380,LB,live birth
2381,lb,pound
2382,LBBB,left bundle branch block
2383,LBP,low back pain
2384,lbs,pounds
2385,LBW,low birth weight
2386,LC-MS,liquid chromatography mass spectrometry
2387,LCA,left coronary artery
2388,LCAD,long-chain acyl-CoA dehydrogenase deficiency
2389,LCD,liquor carbonis detergens
2390,LCF,left cubital fossa
2391,LCIS,lobular carcinoma in situ
2392,LCL,lateral collateral ligament
2393,LCM,left costal margin
2394,LCMV,lymphocytic choriomeningitis virus
2395,LCPD,Legg-Calve-Perthes disease
2396,LCSW,Licensed Clinical Social Worker
2397,LCX,left circumflex
2398,LD,learning disability
2399,LD50,lethal dose at which 50% of animal test group dies
2400,LDH,lactate dehydrogenase
2401,LDR,"labor, delivery, recovery"
2402,LDRP,"labor, delivery, recovery, postpartum room"
2403,LDUH,low-dose-unfractionated heparin
2404,LE,left eye
2405,LEEP,loop electrosurgical excision procedure
2406,LEP,laparoscopic extraperitoneal approach
2407,LES,lower esophageal sphincter
2408,LET,"lidocaine, epinephrine, tetracaine"
2409,LETZ,loop electrosurgical excision procedure
2410,Leu,leucine
2411,LFA,left forearm
2412,LFD,low fat diet
2413,LFTS,liver function test series
2414,LG,left gluteal/gluteus
2415,lg,large
2416,LGA,large for gestational age
2417,LGI,lower gastrointestinal
2418,LGL,large granular lymphocyte
2419,LGM,left upper outer gluteus maximus
2420,LGSIL,"low-grade squamous, intra-epithelial lesion"
2421,LGV,lymphogranuloma venereum
2422,LH,luteinizing hormone
2423,LHRH,luteinizing hormone-releasing hormone
2424,LHS,long handled sponge
2425,Li,Lithium (element)
2426,LIF,leukemia inhibitory factor
2427,LIFA,left inner forearm
2428,lig,ligament
2429,LIH,left inguinal herniorrhaphy
2430,LIMA,left internal mammary artery
2431,liq,fluid
2432,LIQ,lower inner quadrant
2433,LITT,laser-induced interstitial thermotherapy
2434,LKS,"liver, kidney, and spleen"
2435,LL,left lateral
2436,LLB,long leg brace
2437,LLC,long leg cast
2438,LLE,left lower extremity
2439,LLL,left lower (lung) lobe
2440,LLQ,left lower quadrant (abdomen)
2441,LLSB,left lower sternal border
2442,LMA,laryngeal mask airway
2443,LMCA,left main coronary artery
2444,LMD,local medical doctor
2445,LMHC,Licensed Mental Health Counselor
2446,LML,left mediolateral
2447,LMN,lower motor neuron
2448,LMO,living modified organism
2449,LMWH,low-molecular-weight heparin
2450,LN,lymph node
2451,LNMP,last normal menstrual period
2452,LOA,leave of absence
2453,LOB,loss of balance
2454,LOC,loss of consciousness
2455,LoChol,low cholesterol
2456,LOF,loss of function
2457,LOFA,left outer forearm
2458,LOM,loss/limitation of motion
2459,LOMSA,"left otitis media, suppurative, acute"
2460,LOMSCH,"left otitis media, suppurative, chronic"
2461,LOOP,loop electrosurgical excision procedure
2462,LOP,left occiput posterior
2463,LOQ,lower outer quadrant
2464,LOR,loss of resistance
2465,LOS,length of stay
2466,LOT,left occiput transverse
2467,lot,lotion
2468,LP,lumbar puncture
2469,LPcP,light perception with projection
2470,LPD,luteal phase defect
2471,LPFB,left posterior fascicular block
2472,LPI,laser peripheral iridotomy
2473,LPM,liters per minute (oxygen)
2474,LPN,licensed practical nurse
2475,LPO,left posterior oblique
2476,LPT,licensed physical therapist
2477,LQR/LSR,locked quiet room/locked seclusion room
2478,LQTS,long QT syndrome
2479,LR,lateral rectus
2480,LRI,lower respiratory infection
2481,LRNE,low risk nutrition education
2482,LRSB,lower right sternal border
2483,LRT,lower respiratory tract
2484,LRTI,lower respiratory tract infection
2485,LS,lumbosacral
2486,LS ratio,lecithin-sphingomyelin ratio
2487,LSB,left sternal border
2488,LSC,left subclavian
2489,LSD,lysergic acid diethylamide (sl: acid)
2490,LSIL,low-grade squamous intraepithelial lesion
2491,LSK,"liver, spleen, kidneys"
2492,LSO,left salpingo-oophorectomy
2493,LT,left tilt
2494,Lt,left
2495,LTB,laryngotracheobronchitis
2496,LTC,long-term care (facility)
2497,LTCF,long-term care facility
2498,LTD,lowest tolerated dose
2499,LTE,life-threatening event
2500,LTG,long-term goals
2501,LTH,luteotropic hormone
2502,LTL,laparoscopic tubal ligation
2503,LTM,long-term memory
2504,LTP,long-term potentiation
2505,LTR,laryngotracheal reconstruction
2506,LTV,long-term variability
2507,ltx,latex
2508,Lu,Lutetium (element)
2509,LUA,left upper arm
2510,LUD,left uterine displacement
2511,LUE,left upper extremity
2512,LUL,left upper (lung) lobe
2513,LUQ,left upper quadrant (abdomen)
2514,LUT,left upper thigh
2515,LV,left ventricle
2516,LVA,left ventricular aneurysm
2517,LVAD,left ventricular assist device
2518,LVEDP,left ventricular end-diastolic pressure
2519,LVEF,left ventricular ejection fraction
2520,LVF,left ventricular function
2521,LVG,left ventriculogram
2522,LVH,left ventricular hypertrophy
2523,lvl,level
2524,LVL,left vastus lateralis
2525,LVN,licensed vocational nurse
2526,LWD,living with disease
2527,LWOT,left without treatment
2528,LWS,low wall suction
2529,LXT,exotropia (left)
2530,lymphs,lymphocytes
2531,Lys,lysine
2532,lytes,electrolytes
2533,m,minim
2534,M,myopia
2535,M&F,mother and father
2536,M-CSF,macrophage colony-stimulating factor
2537,M. tb,mycobacterium tuberculosis
2538,M/Hx,medical history
2539,M/S,musculoskeletal
2540,M/uL,million per microliter
2541,M1,mitral first sound
2542,M2,mitral second sound
2543,MA,mental age
2544,mA,milliampere
2545,MABP,mean arterial blood pressure
2546,MAC,mycobacterium avium complex
2547,MAD,multiple autoimmune disorder
2548,MADD,mothers against drunk driving
2549,MAE,moving all extremities
2550,MAFO,molded ankle foot orthosis
2551,Mag,magnesium
2552,MAI,mycobacterium avium intracellular
2553,MAL,mid-axillary line
2554,MALT,mucosa-associated lymphoid tissue
2555,MAMC,midarm muscle circumference
2556,man. prim.,first thing in the morning
2557,mand,mandatory
2558,MAO,monoamine oxidase
2559,MAO-B,monoamine oxidase-b
2560,MAOI,monoamine oxidase inhibitor
2561,MAP,mean arterial pressure
2562,MAR,medication administration record
2563,MASH,mobile army surgical hospital
2564,MAST,military anti-shock trousers
2565,mast,mastectomy
2566,MAT,miller analogies test
2567,max,"maxilla, maxillary"
2568,MBC,maximum breathing capacity
2569,MBD,minimal brain dysfunction
2570,MBPS,Munchausen-by-proxy syndrome
2571,MC,medical corps
2572,mc,millicurie
2573,MC&S,"microscopy, culture, and sensitivity"
2574,MCA,middle cerebral artery
2575,MCAD,medium-chain acyl-CoA dehydrogenase (deficiency)
2576,MCAT,Medical College Admissions Test
2577,MCC,major complication or comorbidity
